N,P,K,temperature,humidity,ph,rainfall,label
115,86,49,25.74,79.18,5.61,97.19,banana
103,88,52,28.43,81.76,6.02,97.84,banana
108,92,54,27.81,75.44,6.13,94.05,banana
106,78,50,27.27,81.86,5.76,109.86,banana
95,92,48,26.48,75.22,6.46,92.72,banana
101,79,48,28.72,78.08,5.52,110.71,banana
82,82,55,25.28,77.2,5.56,96.93,banana
95,94,55,27.4,77.41,6.47,92.4,banana
112,87,54,26.77,80.51,5.84,106.04,banana
118,89,52,25.89,80.04,5.76,106.98,banana
102,85,47,28.15,80.84,5.56,98.02,banana
98,87,55,25.68,82.91,6.31,102.28,banana
90,85,47,27.81,80.46,6.35,90.09,banana
91,88,50,29.21,84.25,6.36,109.71,banana
96,81,48,25.57,81.69,5.52,102.47,banana
110,89,45,29.61,75.93,6.17,92.0,banana
110,78,54,29.72,82.67,6.4,111.5,banana
105,85,55,29.41,80.12,6.18,112.86,banana
114,95,49,28.25,77.41,6.03,90.95,banana
108,82,52,29.51,84.11,5.57,98.03,banana
102,81,50,28.2,75.07,6.27,96.27,banana
99,88,47,28.06,83.08,6.03,93.15,banana
94,79,55,28.44,76.3,5.72,110.85,banana
84,94,50,27.05,79.42,6.46,92.99,banana
101,87,49,25.99,83.59,5.99,91.31,banana
96,93,52,26.62,76.9,5.79,96.72,banana
117,75,53,26.86,84.26,5.53,96.63,banana
97,91,48,27.08,84.16,6.17,114.35,banana
99,94,53,28.87,75.11,5.75,108.74,banana
114,79,50,28.13,75.9,5.91,104.2,banana
84,78,52,25.32,82.19,6.16,110.0,banana
112,91,52,28.45,79.94,6.13,105.61,banana
111,76,53,25.2,79.79,6.22,93.54,banana
114,82,45,25.39,83.32,5.57,107.52,banana
117,85,47,28.24,82.36,6.45,90.43,banana
85,95,50,26.56,82.19,6.42,104.78,banana
96,86,48,28.97,82.65,6.28,111.86,banana
117,83,50,29.68,75.95,5.83,104.2,banana
109,79,46,29.92,76.24,5.65,102.13,banana
105,95,47,25.11,78.47,6.5,112.88,banana
88,95,55,28.69,82.45,5.69,102.84,banana
106,95,47,27.28,79.32,6.27,94.07,banana
102,77,55,29.06,82.69,6.0,105.52,banana
87,94,49,25.23,83.2,6.22,109.3,banana
86,88,54,27.9,77.14,5.62,95.67,banana
90,91,46,26.85,76.99,5.69,101.35,banana
115,87,49,27.27,76.35,5.75,107.49,banana
95,85,48,29.57,80.78,5.62,98.92,banana
82,89,50,27.05,77.15,5.84,111.62,banana
87,89,45,25.52,77.95,5.58,92.99,banana
82,81,48,26.5,77.5,5.99,92.95,banana
97,81,54,25.16,83.98,5.54,107.15,banana
108,86,55,29.98,75.58,5.9,90.75,banana
104,90,53,25.79,82.27,6.12,114.77,banana
114,88,49,25.76,80.84,6.27,111.93,banana
106,86,53,27.76,81.15,6.12,99.64,banana
106,82,51,26.24,84.05,5.79,98.74,banana
87,90,50,25.31,75.83,5.69,105.87,banana
85,90,55,29.58,77.76,5.98,94.89,banana
107,88,53,28.45,80.32,5.95,92.57,banana
104,91,45,26.47,81.68,5.52,105.88,banana
110,93,53,25.14,80.55,6.25,104.79,banana
92,77,55,26.37,79.26,5.89,114.27,banana
81,86,46,27.15,80.34,6.23,91.64,banana
111,78,51,25.21,76.77,5.79,91.94,banana
107,80,50,25.55,76.19,5.95,92.88,banana
107,93,50,26.57,83.95,5.64,111.48,banana
103,76,51,26.19,81.7,5.99,104.25,banana
95,89,48,26.81,77.4,5.86,110.0,banana
101,85,55,25.34,81.51,5.95,100.89,banana
95,94,50,25.97,83.24,6.13,104.86,banana
111,90,51,25.54,79.45,6.13,92.57,banana
33,20,27,28.26,47.38,6.45,96.53,mango
21,39,33,29.79,48.64,5.67,97.7,mango
36,33,25,29.05,52.66,6.41,93.96,mango
28,29,29,33.8,52.75,6.64,93.73,mango
21,29,30,34.62,53.65,4.91,98.04,mango
14,37,30,28.2,52.42,6.49,96.49,mango
38,29,28,33.43,46.25,6.01,98.53,mango
14,20,32,28.46,51.69,5.11,91.73,mango
14,33,30,27.93,45.22,6.37,90.58,mango
23,36,31,31.21,45.99,5.46,99.41,mango
23,33,30,35.66,47.97,5.82,95.73,mango
18,16,29,30.56,46.58,5.39,93.9,mango
34,27,27,27.83,47.13,4.81,95.79,mango
28,27,25,30.95,51.65,6.94,99.81,mango
15,30,30,29.74,47.13,6.66,97.42,mango
40,21,35,32.98,49.17,4.52,90.27,mango
11,28,26,30.8,52.75,6.55,99.48,mango
26,24,27,28.87,49.9,6.15,93.85,mango
28,25,27,35.13,45.21,6.55,93.84,mango
36,35,29,29.39,51.49,4.72,95.46,mango
11,24,25,34.17,48.8,5.84,93.61,mango
20,39,34,33.29,53.49,5.4,90.21,mango
37,38,34,27.21,51.61,6.93,99.22,mango
19,38,27,32.02,45.6,5.03,96.06,mango
13,26,27,29.64,48.46,6.99,96.38,mango
25,33,35,30.45,45.83,4.65,92.56,mango
17,36,31,32.68,45.33,6.91,96.64,mango
14,27,34,32.54,52.6,5.45,95.24,mango
37,24,28,27.86,51.91,6.36,96.78,mango
25,38,25,28.64,53.97,5.32,90.34,mango
16,21,27,29.68,45.76,6.68,95.52,mango
15,34,30,30.02,48.78,5.92,97.23,mango
24,21,34,31.03,48.73,5.91,91.25,mango
14,19,30,32.49,54.26,5.29,96.24,mango
21,18,35,28.95,52.3,6.93,92.08,mango
28,30,28,35.78,48.23,4.9,97.6,mango
28,20,33,27.88,53.13,5.82,91.09,mango
40,19,26,32.94,53.69,6.38,90.22,mango
19,31,26,33.73,52.57,5.86,98.81,mango
19,38,30,32.66,48.62,4.74,95.72,mango
34,34,30,34.8,51.53,6.7,95.04,mango
31,21,33,31.11,48.6,5.07,96.55,mango
13,19,26,33.84,53.13,6.45,93.37,mango
35,27,34,32.06,50.08,6.14,94.04,mango
37,37,27,31.86,49.35,5.38,93.94,mango
16,38,30,29.4,53.93,5.94,91.9,mango
11,21,33,34.47,48.85,6.94,90.99,mango
13,26,25,27.09,53.43,5.02,96.38,mango
21,36,33,35.82,52.85,5.85,90.27,mango
16,35,30,30.67,47.79,5.92,92.45,mango
11,26,26,29.69,52.36,6.47,99.61,mango
33,38,31,27.38,48.17,6.84,93.71,mango
34,22,25,30.29,48.1,4.59,98.9,mango
37,27,33,32.04,48.06,6.48,90.07,mango
11,31,27,28.58,47.59,4.61,98.44,mango
27,24,25,30.83,48.88,5.73,99.1,mango
13,26,33,32.9,49.74,6.21,96.77,mango
12,35,34,28.37,46.55,6.79,96.47,mango
37,34,31,31.49,50.78,5.37,98.31,mango
39,31,33,35.33,48.8,6.06,91.04,mango
25,38,25,29.96,48.94,5.03,94.22,mango
32,28,34,31.34,50.78,6.37,92.66,mango
22,38,34,33.82,52.92,6.19,93.93,mango
21,31,34,30.48,46.3,5.73,98.84,mango
37,21,28,29.46,51.28,5.89,94.11,mango
25,24,35,27.03,51.42,4.68,96.93,mango
34,36,30,27.37,49.86,5.59,90.09,mango
17,34,26,28.18,54.86,4.65,92.61,mango
29,33,29,33.49,52.46,5.11,98.11,mango
24,38,33,27.08,46.35,6.21,98.9,mango
39,24,34,28.14,52.47,6.83,91.28,mango
15,27,35,32.56,54.5,6.58,97.66,mango
34,28,33,27.92,45.01,5.31,90.21,mango
30,38,33,31.3,49.24,5.1,91.15,mango
17,35,32,30.39,51.65,4.95,98.67,mango
32,39,25,30.75,45.67,4.54,94.99,mango
20,23,32,29.1,52.18,6.9,90.28,mango
39,33,31,30.93,45.02,6.66,92.76,mango
20,15,33,35.4,53.31,5.12,92.86,mango
34,26,26,33.05,53.31,5.64,91.99,mango
36,38,25,28.62,52.75,6.8,90.96,mango
24,24,34,31.03,52.7,6.79,94.94,mango
37,33,32,30.08,50.03,5.92,98.91,mango
23,38,29,27.13,50.6,5.35,99.81,mango
29,40,26,31.8,46.7,5.06,93.96,mango
21,34,30,35.16,48.48,6.48,91.26,mango
37,17,35,27.49,48.34,4.68,93.47,mango
28,31,29,28.32,45.07,6.11,97.95,mango
11,18,29,32.3,50.74,5.02,99.11,mango
38,29,31,28.77,46.97,6.69,90.32,mango
21,37,35,32.36,47.09,5.96,94.17,mango
36,24,26,28.21,45.61,6.55,94.6,mango
24,28,29,35.2,51.42,5.14,95.71,mango
33,26,28,35.19,48.54,6.83,95.69,mango
23,28,29,32.96,53.14,5.03,93.64,mango
13,28,31,29.29,45.97,4.53,93.88,mango
28,17,35,32.32,53.85,4.91,93.85,mango
13,32,30,30.47,52.34,4.57,98.85,mango
32,17,30,35.42,47.14,5.04,91.6,mango
40,35,27,32.04,54.81,5.73,94.22,mango
32,127,203,17.2,83.78,5.61,67.58,grapes
38,141,202,26.55,84.22,5.6,67.23,grapes
39,144,203,11.06,84.8,5.5,70.69,grapes
22,125,204,24.56,81.0,5.95,68.23,grapes
32,128,195,13.55,83.75,5.77,65.16,grapes
33,127,197,12.48,84.52,5.75,71.65,grapes
36,138,198,29.95,81.04,5.85,69.87,grapes
23,130,202,14.37,81.72,5.69,74.46,grapes
25,144,197,35.79,84.26,5.97,68.68,grapes
35,138,205,19.47,84.78,5.95,70.49,grapes
30,143,204,32.6,80.01,5.51,66.1,grapes
30,135,199,39.85,84.78,5.83,68.83,grapes
26,120,197,29.03,82.27,5.56,71.29,grapes
40,145,198,8.64,80.15,5.65,71.7,grapes
32,128,198,9.69,82.54,5.63,72.28,grapes
24,139,198,22.16,81.92,6.0,70.75,grapes
39,124,200,14.5,84.86,5.83,71.09,grapes
32,127,205,20.39,84.93,5.99,73.0,grapes
20,132,204,11.08,82.78,5.65,67.53,grapes
25,133,200,9.53,81.53,5.84,66.48,grapes
29,123,200,39.77,84.92,5.52,74.33,grapes
38,140,195,21.2,81.3,5.7,72.25,grapes
28,142,198,14.02,80.97,5.79,69.43,grapes
39,137,198,21.23,82.21,5.94,65.74,grapes
24,127,197,23.13,84.87,5.84,74.25,grapes
33,120,205,31.33,84.71,5.53,70.14,grapes
28,127,198,9.22,84.37,5.55,72.63,grapes
34,141,203,30.6,82.4,5.75,74.69,grapes
31,143,200,12.6,80.91,5.72,65.04,grapes
38,129,197,31.44,82.92,5.84,66.75,grapes
34,139,205,37.46,84.16,5.99,65.41,grapes
30,135,203,15.67,81.0,5.99,72.85,grapes
28,144,195,36.43,84.49,5.72,66.03,grapes
40,131,201,31.91,80.99,5.55,74.77,grapes
30,132,195,22.57,83.94,5.56,71.05,grapes
22,122,203,32.59,80.14,5.92,65.54,grapes
23,128,204,14.56,82.05,5.63,65.19,grapes
34,127,203,21.98,84.05,5.64,67.6,grapes
36,121,200,32.28,83.5,5.5,72.45,grapes
22,144,197,38.36,83.48,5.54,65.55,grapes
37,135,198,30.9,80.49,5.89,65.81,grapes
31,144,200,28.36,80.1,5.92,72.38,grapes
27,140,196,36.77,82.47,5.73,66.87,grapes
37,145,195,29.24,82.79,5.74,65.98,grapes
39,126,205,11.24,84.25,5.72,65.42,grapes
31,140,198,24.71,80.8,5.66,71.01,grapes
38,122,202,38.24,84.0,5.79,72.24,grapes
36,142,201,37.14,83.05,5.52,65.4,grapes
21,137,197,11.18,81.83,5.56,73.96,grapes
35,135,204,16.49,84.54,5.78,68.85,grapes
30,128,201,29.38,81.68,5.89,72.12,grapes
34,132,196,39.83,83.95,5.67,72.68,grapes
21,121,197,27.47,82.12,5.89,70.49,grapes
40,139,200,15.62,80.32,5.59,74.07,grapes
36,130,197,37.1,80.87,5.99,67.27,grapes
30,127,198,15.33,83.62,5.85,72.09,grapes
38,135,201,24.16,82.99,5.56,67.95,grapes
30,136,205,21.82,82.39,5.76,73.52,grapes
29,134,199,12.56,84.99,5.68,70.87,grapes
34,142,201,23.1,83.49,5.74,71.34,grapes
39,136,201,34.46,80.51,5.52,73.43,grapes
20,132,199,35.78,83.57,5.57,71.65,grapes
30,126,202,27.05,84.99,5.52,67.13,grapes
35,140,203,9.47,81.65,5.86,72.65,grapes
31,142,200,30.75,81.66,5.63,72.44,grapes
26,132,202,28.65,82.06,5.7,67.29,grapes
34,126,202,14.52,84.29,5.95,68.95,grapes
36,133,202,14.84,81.28,5.51,73.18,grapes
25,127,195,36.5,80.98,5.63,71.89,grapes
35,140,198,25.01,84.5,5.98,72.58,grapes
36,134,203,29.0,82.14,5.74,74.63,grapes
27,137,202,31.56,83.21,5.97,66.05,grapes
31,137,201,9.87,81.17,5.97,70.18,grapes
30,121,196,17.08,84.7,5.85,67.52,grapes
26,145,205,25.06,80.38,5.53,71.6,grapes
22,132,204,37.67,81.78,5.75,69.19,grapes
20,141,200,32.26,80.93,5.73,73.17,grapes
20,141,204,23.87,83.09,5.72,69.0,grapes
31,141,205,22.88,82.12,5.72,69.56,grapes
33,130,204,21.37,80.87,5.83,72.29,grapes
34,126,201,16.68,83.09,5.8,71.03,grapes
31,126,196,19.24,84.25,5.57,73.77,grapes
32,125,197,18.48,80.03,5.93,73.91,grapes
36,128,202,10.65,82.16,5.8,69.57,grapes
33,129,200,36.57,83.55,5.9,70.58,grapes
31,121,204,17.88,81.23,5.98,69.07,grapes
30,126,198,19.57,83.12,5.63,74.24,grapes
31,122,200,19.47,84.35,5.99,68.66,grapes
30,138,204,12.21,84.19,5.52,69.6,grapes
32,141,199,30.1,83.21,5.85,68.87,grapes
31,142,204,29.53,81.78,5.94,73.16,grapes
23,138,197,18.47,82.79,5.84,66.6,grapes
40,145,205,35.19,82.17,5.67,72.92,grapes
30,125,197,25.73,83.39,5.53,71.93,grapes
39,139,204,39.82,83.89,5.85,71.53,grapes
29,138,202,12.88,80.39,5.82,72.89,grapes
25,143,200,18.88,80.43,5.83,66.07,grapes
24,130,204,37.42,84.94,5.62,67.61,grapes
40,140,199,8.69,80.71,5.67,68.93,grapes
28,120,199,31.41,80.59,5.72,68.85,grapes
94,13,52,24.56,85.02,6.48,52.42,watermelon
81,28,51,26.27,81.77,6.97,47.24,watermelon
81,16,45,24.25,81.52,6.46,42.39,watermelon
83,25,46,24.23,89.14,6.12,55.01,watermelon
100,14,53,24.33,88.7,6.75,56.1,watermelon
84,25,55,26.2,86.86,6.76,41.76,watermelon
81,21,50,26.66,81.22,6.66,58.62,watermelon
96,28,48,24.64,82.52,6.17,52.4,watermelon
94,18,54,25.27,80.92,6.17,54.05,watermelon
80,20,54,24.24,87.48,6.28,46.96,watermelon
84,9,55,26.97,81.99,6.08,56.53,watermelon
81,28,51,25.93,86.54,6.37,48.48,watermelon
85,25,45,26.42,88.33,6.0,42.95,watermelon
92,12,49,25.38,83.48,6.48,46.56,watermelon
93,30,52,25.53,82.43,6.8,44.39,watermelon
89,15,51,25.02,87.23,6.85,46.49,watermelon
89,16,47,24.86,88.24,6.23,53.05,watermelon
100,23,46,24.78,84.96,6.77,50.49,watermelon
96,9,46,24.24,87.82,6.33,57.37,watermelon
97,23,52,24.09,84.26,6.14,59.8,watermelon
94,28,50,25.08,87.84,6.94,45.44,watermelon
94,9,45,25.93,88.27,6.44,54.83,watermelon
82,11,51,25.08,84.14,6.16,40.21,watermelon
81,30,55,24.27,86.96,6.46,52.67,watermelon
96,16,48,26.99,85.3,6.93,45.19,watermelon
94,15,46,25.86,80.22,6.24,43.91,watermelon
96,19,54,26.58,89.59,6.76,54.78,watermelon
91,30,55,25.99,81.47,6.11,47.52,watermelon
86,28,54,25.92,82.37,6.49,50.97,watermelon
97,28,46,25.08,83.87,6.97,44.43,watermelon
96,12,50,26.88,85.22,6.01,50.27,watermelon
100,23,53,26.08,89.0,6.66,54.87,watermelon
91,26,45,26.35,84.14,6.89,58.44,watermelon
98,18,45,24.43,89.68,6.62,46.33,watermelon
80,22,46,24.07,89.73,6.2,55.37,watermelon
89,18,49,25.28,86.33,6.36,55.2,watermelon
85,29,46,26.65,88.88,6.7,53.55,watermelon
85,30,54,24.74,86.02,6.97,56.85,watermelon
100,25,50,26.83,88.77,6.49,51.4,watermelon
93,5,55,25.32,88.74,6.78,46.28,watermelon
80,14,51,24.05,83.75,6.75,49.95,watermelon
80,20,51,25.66,80.7,6.35,45.06,watermelon
96,17,53,25.13,89.35,6.48,51.58,watermelon
92,5,49,26.85,81.34,6.48,52.45,watermelon
97,9,55,25.38,82.02,6.34,46.65,watermelon
99,17,49,24.56,83.8,6.63,44.08,watermelon
83,7,46,24.53,82.85,6.53,50.89,watermelon
96,20,52,24.71,89.7,6.06,57.44,watermelon
99,15,52,24.94,87.78,6.68,59.1,watermelon
95,18,54,26.85,80.27,6.01,53.77,watermelon
90,13,47,24.35,80.34,6.45,46.74,watermelon
98,18,54,24.32,80.13,6.39,53.64,watermelon
94,17,51,25.81,87.48,6.94,46.65,watermelon
95,19,47,25.37,81.89,6.56,40.74,watermelon
84,30,45,25.65,87.41,6.48,58.9,watermelon
85,8,45,26.65,89.51,6.78,53.44,watermelon
92,29,46,25.07,85.13,6.24,52.03,watermelon
86,19,45,25.87,82.93,6.17,45.42,watermelon
97,5,46,24.43,88.53,6.63,57.59,watermelon
95,23,54,26.51,82.62,6.64,47.89,watermelon
87,6,49,26.07,82.07,6.42,53.17,watermelon
95,17,53,26.13,81.14,6.64,52.09,watermelon
85,26,55,25.24,82.92,6.06,49.76,watermelon
94,6,49,24.98,80.5,6.35,56.01,watermelon
100,14,55,25.37,89.24,6.4,47.41,watermelon
100,17,53,26.23,80.09,6.94,48.84,watermelon
81,7,54,26.36,89.51,6.06,41.24,watermelon
96,28,52,26.8,89.85,6.47,58.26,watermelon
80,17,45,24.71,89.21,6.64,41.76,watermelon
86,30,52,25.0,87.2,6.08,50.8,watermelon
83,24,51,24.09,87.01,6.88,49.41,watermelon
87,6,45,24.86,82.15,6.89,56.3,watermelon
98,21,55,25.62,81.27,6.06,47.69,watermelon
90,22,50,26.51,84.36,6.59,45.39,watermelon
82,24,51,24.4,83.63,6.29,41.28,watermelon
90,23,50,26.37,84.98,6.22,41.3,watermelon
94,19,45,24.59,86.4,6.82,46.65,watermelon
81,28,47,24.52,84.81,6.51,40.8,watermelon
97,28,47,25.6,88.56,6.31,40.87,watermelon
93,28,55,26.32,88.27,6.2,58.28,watermelon
82,22,45,24.88,86.5,6.65,55.71,watermelon
95,5,45,25.43,82.6,6.26,48.05,watermelon
97,27,55,24.41,83.07,6.11,49.3,watermelon
91,22,53,24.62,87.6,6.37,42.73,watermelon
95,13,48,24.74,80.11,6.06,50.85,watermelon
94,29,54,26.9,89.85,6.56,40.7,watermelon
87,29,54,26.4,86.76,6.2,42.62,watermelon
93,7,50,25.77,85.21,6.71,50.87,watermelon
83,7,51,26.37,84.45,6.93,46.0,watermelon
91,12,46,24.22,85.0,6.96,58.37,watermelon
89,15,49,26.79,86.45,6.02,50.07,watermelon
95,11,47,26.43,87.92,6.83,57.7,watermelon
96,29,50,26.23,84.67,6.73,44.77,watermelon
100,18,50,24.83,87.37,6.56,44.17,watermelon
82,25,55,24.43,87.74,6.49,49.24,watermelon
80,5,47,26.89,87.82,6.5,54.78,watermelon
92,21,45,25.95,88.84,6.04,42.47,watermelon
85,25,48,26.81,88.87,6.76,59.39,watermelon
100,22,48,25.98,84.83,6.56,52.05,watermelon
94,28,53,26.11,85.03,6.5,43.38,watermelon
83,24,46,29.44,90.51,6.3,24.15,muskmelon
82,23,48,29.68,93.26,6.4,24.64,muskmelon
83,12,51,27.14,92.58,6.19,21.71,muskmelon
96,26,51,28.99,90.59,6.68,24.45,muskmelon
100,16,46,29.0,91.58,6.25,29.88,muskmelon
91,21,45,28.8,92.65,6.72,23.04,muskmelon
84,22,46,27.14,92.62,6.49,23.84,muskmelon
92,13,55,28.4,93.77,6.63,28.7,muskmelon
87,20,51,28.77,90.57,6.47,25.18,muskmelon
96,29,49,28.24,93.83,6.37,29.45,muskmelon
86,5,55,27.13,90.79,6.5,28.34,muskmelon
94,30,55,28.37,92.71,6.33,20.66,muskmelon
82,17,48,28.93,92.12,6.58,29.09,muskmelon
93,5,55,27.26,91.59,6.58,20.14,muskmelon
89,14,45,29.87,94.61,6.68,24.94,muskmelon
95,14,53,27.03,94.83,6.39,28.21,muskmelon
80,8,52,29.25,91.23,6.24,28.33,muskmelon
94,12,47,28.13,94.78,6.19,22.02,muskmelon
91,17,51,27.66,94.74,6.01,28.83,muskmelon
98,18,51,29.88,92.7,6.12,27.28,muskmelon
80,10,48,27.15,94.07,6.24,22.9,muskmelon
99,7,51,27.87,94.55,6.73,21.33,muskmelon
80,17,49,28.54,93.46,6.37,23.45,muskmelon
100,8,51,28.92,90.19,6.51,26.91,muskmelon
98,12,49,29.22,90.54,6.51,23.31,muskmelon
94,26,49,27.49,92.54,6.48,22.72,muskmelon
84,21,54,28.87,93.57,6.06,26.41,muskmelon
96,25,51,27.94,94.83,6.12,23.09,muskmelon
88,27,53,29.23,93.98,6.69,25.11,muskmelon
98,9,46,28.01,93.72,6.32,29.93,muskmelon
88,13,46,29.21,90.03,6.5,26.31,muskmelon
87,24,51,28.85,93.55,6.73,28.66,muskmelon
86,10,45,29.89,90.67,6.28,23.44,muskmelon
91,18,49,29.88,90.91,6.36,27.5,muskmelon
96,27,55,27.2,93.65,6.3,24.17,muskmelon
81,19,49,27.98,93.2,6.1,25.27,muskmelon
94,26,48,28.8,90.07,6.15,23.51,muskmelon
96,25,52,29.09,92.15,6.23,22.7,muskmelon
91,18,49,28.92,94.83,6.55,29.74,muskmelon
80,14,50,27.38,94.55,6.31,27.6,muskmelon
95,18,53,27.12,92.2,6.02,29.57,muskmelon
95,6,55,27.0,91.69,6.4,28.77,muskmelon
94,20,50,29.25,92.12,6.61,24.4,muskmelon
88,10,45,27.1,92.16,6.39,23.48,muskmelon
97,26,45,28.93,92.47,6.24,21.58,muskmelon
90,21,52,28.63,90.09,6.67,29.67,muskmelon
89,11,52,27.89,94.09,6.73,26.94,muskmelon
80,19,54,27.87,90.77,6.44,24.21,muskmelon
97,28,55,27.19,93.95,6.72,21.68,muskmelon
97,25,54,28.47,94.95,6.52,29.44,muskmelon
83,21,52,28.97,90.51,6.06,20.24,muskmelon
89,12,45,29.07,93.31,6.64,24.77,muskmelon
83,29,47,27.72,93.14,6.03,26.11,muskmelon
89,7,49,29.83,92.09,6.09,26.55,muskmelon
92,14,52,28.55,94.28,6.64,28.46,muskmelon
87,9,55,28.7,92.53,6.74,21.73,muskmelon
90,26,50,27.51,91.96,6.02,23.14,muskmelon
80,12,49,28.65,91.57,6.3,27.17,muskmelon
92,9,47,29.64,90.37,6.65,23.57,muskmelon
98,8,49,29.31,93.96,6.09,23.55,muskmelon
91,16,45,27.7,93.1,6.35,28.49,muskmelon
96,25,54,27.37,90.47,6.05,20.11,muskmelon
94,27,45,28.0,93.69,6.31,26.05,muskmelon
80,12,55,29.64,93.48,6.13,28.39,muskmelon
94,19,45,27.81,94.13,6.71,23.89,muskmelon
84,6,47,28.1,92.11,6.08,28.1,muskmelon
81,29,50,29.01,94.36,6.18,24.6,muskmelon
84,27,52,29.54,92.11,6.33,23.03,muskmelon
84,10,46,28.83,94.71,6.09,20.41,muskmelon
99,8,54,29.83,94.17,6.72,27.69,muskmelon
94,11,55,27.47,90.65,6.55,28.63,muskmelon
85,12,50,29.43,92.11,6.21,29.25,muskmelon
91,16,53,27.43,90.08,6.33,25.81,muskmelon
87,26,47,28.13,90.61,6.45,25.52,muskmelon
80,6,51,29.19,91.87,6.56,26.32,muskmelon
99,11,48,29.95,92.63,6.54,28.96,muskmelon
93,29,55,28.38,91.0,6.51,20.51,muskmelon
96,20,55,29.69,94.36,6.26,21.01,muskmelon
85,22,45,29.4,93.5,6.61,20.19,muskmelon
96,30,51,27.87,93.53,6.31,27.6,muskmelon
89,6,47,27.58,91.94,6.61,21.99,muskmelon
91,16,48,27.6,90.93,6.1,22.54,muskmelon
84,24,53,27.91,91.9,6.2,27.72,muskmelon
94,6,45,27.91,94.58,6.47,26.39,muskmelon
96,6,53,29.13,90.14,6.77,22.61,muskmelon
80,21,53,29.85,91.79,6.17,20.62,muskmelon
99,11,53,28.53,94.34,6.35,26.11,muskmelon
87,7,55,29.52,93.38,6.57,28.26,muskmelon
82,19,45,27.24,91.76,6.57,29.3,muskmelon
86,15,47,29.79,90.62,6.12,24.33,muskmelon
92,20,46,29.73,90.78,6.53,20.96,muskmelon
95,23,53,27.84,90.49,6.06,29.29,muskmelon
82,18,49,29.33,94.93,6.08,22.97,muskmelon
84,9,47,27.38,93.52,6.05,25.83,muskmelon
85,25,45,28.6,94.56,6.27,27.24,muskmelon
93,20,51,28.64,91.0,6.55,27.94,muskmelon
89,7,54,27.14,93.93,6.08,24.81,muskmelon
84,5,52,27.73,91.74,6.5,29.01,muskmelon
89,21,49,27.13,93.94,6.08,29.81,muskmelon
85,27,51,29.41,94.12,6.25,24.97,muskmelon
18,120,204,22.79,93.3,6.27,111.6,apple
25,127,196,23.14,91.17,5.52,115.39,apple
17,127,196,22.39,94.62,5.61,102.42,apple
30,133,201,21.62,94.07,5.53,103.02,apple
12,125,199,21.1,93.79,6.16,106.19,apple
20,140,203,21.43,93.39,6.06,124.32,apple
40,134,201,23.66,93.14,5.62,117.11,apple
33,130,199,21.08,90.78,5.8,107.33,apple
2,122,200,21.96,90.08,5.95,117.21,apple
29,134,201,23.82,92.66,6.13,111.54,apple
9,125,203,23.86,90.05,6.29,102.17,apple
1,130,205,22.06,92.17,6.1,102.69,apple
22,127,198,21.09,90.67,6.06,109.16,apple
15,121,195,21.01,90.14,5.69,110.23,apple
19,132,199,22.98,92.45,6.18,108.99,apple
21,141,198,23.04,93.55,6.18,119.92,apple
1,128,197,22.77,91.0,6.21,113.91,apple
21,143,201,22.14,90.88,6.02,110.34,apple
4,135,196,23.31,94.74,6.0,102.46,apple
3,129,195,21.18,90.59,6.22,102.45,apple
10,120,200,22.57,91.16,6.09,105.13,apple
37,128,204,22.44,90.97,6.16,106.58,apple
6,142,198,23.11,94.79,5.82,120.64,apple
12,128,201,22.26,90.07,6.0,109.67,apple
24,130,205,23.41,94.53,5.67,108.84,apple
38,123,195,22.05,90.92,6.36,117.94,apple
37,144,199,21.44,91.75,5.61,104.93,apple
18,131,195,21.33,92.05,5.72,109.42,apple
40,129,203,22.57,91.01,6.33,103.18,apple
37,123,195,21.09,92.32,5.77,115.79,apple
34,143,198,23.29,91.07,6.05,106.08,apple
0,137,205,23.2,90.72,5.89,122.58,apple
26,134,197,23.69,91.71,6.13,116.77,apple
7,138,198,21.45,93.05,5.89,115.17,apple
26,123,196,21.04,90.75,5.74,114.73,apple
34,124,204,23.43,91.53,6.25,124.97,apple
1,136,197,21.78,91.4,5.53,103.91,apple
13,121,199,22.17,94.74,5.6,107.85,apple
32,121,196,21.16,90.19,6.44,115.07,apple
19,141,205,21.89,91.03,5.61,122.02,apple
20,125,202,22.05,93.95,6.42,108.28,apple
1,121,199,22.12,91.42,5.85,120.9,apple
27,125,200,21.57,91.98,6.39,108.4,apple
16,129,201,23.79,94.01,6.43,124.89,apple
25,129,200,23.34,90.78,5.91,106.6,apple
8,125,201,22.91,91.97,5.9,107.5,apple
6,123,196,21.35,93.58,6.49,122.5,apple
9,120,195,23.79,92.43,6.12,113.14,apple
35,120,201,22.52,91.71,6.24,109.98,apple
31,129,201,21.75,94.58,6.42,105.91,apple
33,139,198,23.35,93.37,6.47,117.6,apple
5,125,197,23.83,91.22,6.35,120.85,apple
31,123,203,23.47,93.78,5.69,113.47,apple
40,123,200,21.92,90.34,5.88,118.35,apple
5,138,195,23.99,92.82,6.11,114.72,apple
5,135,203,21.21,91.66,5.54,115.46,apple
40,137,198,23.17,91.76,6.13,115.13,apple
19,130,204,23.31,91.35,6.35,118.7,apple
40,131,198,22.46,90.03,5.7,117.0,apple
5,135,198,21.55,91.01,6.07,111.82,apple
30,145,202,22.93,91.91,6.35,110.87,apple
22,145,197,21.23,90.14,6.12,110.54,apple
16,129,197,21.28,93.88,6.27,110.75,apple
